Date,Date Key,Day Name,Day Number,Day Short Name,Month Name,Month Number,Month Short Name,Month Year,Qtr Number,Qtr Year,Year
7/11/2013 0:00,41466,Thursday,5,Thu,6-Jan-00,7,Jul,July 2013,3,"3, 2013",2013
7/13/2013 0:00,41468,Saturday,7,Sat,6-Jan-00,7,Jul,July 2013,3,"3, 2013",2013
7/15/2013 0:00,41470,Monday,2,Mon,6-Jan-00,7,Jul,July 2013,3,"3, 2013",2013
7/16/2013 0:00,41471,Tuesday,3,Tue,6-Jan-00,7,Jul,July 2013,3,"3, 2013",2013
7/17/2013 0:00,41472,Wednesday,4,Wed,6-Jan-00,7,Jul,July 2013,3,"3, 2013",2013
7/18/2013 0:00,41473,Thursday,5,Thu,6-Jan-00,7,Jul,July 2013,3,"3, 2013",2013
7/19/2013 0:00,41474,Friday,6,Fri,6-Jan-00,7,Jul,July 2013,3,"3, 2013",2013
7/23/2013 0:00,41478,Tuesday,3,Tue,6-Jan-00,7,Jul,July 2013,3,"3, 2013",2013
7/24/2013 0:00,41479,Wednesday,4,Wed,6-Jan-00,7,Jul,July 2013,3,"3, 2013",2013
7/25/2013 0:00,41480,Thursday,5,Thu,6-Jan-00,7,Jul,July 2013,3,"3, 2013",2013
7/26/2013 0:00,41481,Friday,6,Fri,6-Jan-00,7,Jul,July 2013,3,"3, 2013",2013
7/27/2013 0:00,41482,Saturday,7,Sat,6-Jan-00,7,Jul,July 2013,3,"3, 2013",2013
7/29/2013 0:00,41484,Monday,2,Mon,6-Jan-00,7,Jul,July 2013,3,"3, 2013",2013
7/30/2013 0:00,41485,Tuesday,3,Tue,6-Jan-00,7,Jul,July 2013,3,"3, 2013",2013
7/31/2013 0:00,41486,Wednesday,4,Wed,6-Jan-00,7,Jul,July 2013,3,"3, 2013",2013
8/2/2013 0:00,41488,Friday,6,Fri,7-Jan-00,8,Aug,August 2013,3,"3, 2013",2013
8/5/2013 0:00,41491,Monday,2,Mon,7-Jan-00,8,Aug,August 2013,3,"3, 2013",2013
8/6/2013 0:00,41492,Tuesday,3,Tue,7-Jan-00,8,Aug,August 2013,3,"3, 2013",2013
8/7/2013 0:00,41493,Wednesday,4,Wed,7-Jan-00,8,Aug,August 2013,3,"3, 2013",2013
8/8/2013 0:00,41494,Thursday,5,Thu,7-Jan-00,8,Aug,August 2013,3,"3, 2013",2013
8/12/2013 0:00,41498,Monday,2,Mon,7-Jan-00,8,Aug,August 2013,3,"3, 2013",2013
8/13/2013 0:00,41499,Tuesday,3,Tue,7-Jan-00,8,Aug,August 2013,3,"3, 2013",2013
8/14/2013 0:00,41500,Wednesday,4,Wed,7-Jan-00,8,Aug,August 2013,3,"3, 2013",2013
8/15/2013 0:00,41501,Thursday,5,Thu,7-Jan-00,8,Aug,August 2013,3,"3, 2013",2013
8/16/2013 0:00,41502,Friday,6,Fri,7-Jan-00,8,Aug,August 2013,3,"3, 2013",2013
8/19/2013 0:00,41505,Monday,2,Mon,7-Jan-00,8,Aug,August 2013,3,"3, 2013",2013
8/20/2013 0:00,41506,Tuesday,3,Tue,7-Jan-00,8,Aug,August 2013,3,"3, 2013",2013
8/22/2013 0:00,41508,Thursday,5,Thu,7-Jan-00,8,Aug,August 2013,3,"3, 2013",2013
8/26/2013 0:00,41512,Monday,2,Mon,7-Jan-00,8,Aug,August 2013,3,"3, 2013",2013
8/27/2013 0:00,41513,Tuesday,3,Tue,7-Jan-00,8,Aug,August 2013,3,"3, 2013",2013
8/28/2013 0:00,41514,Wednesday,4,Wed,7-Jan-00,8,Aug,August 2013,3,"3, 2013",2013
8/30/2013 0:00,41516,Friday,6,Fri,7-Jan-00,8,Aug,August 2013,3,"3, 2013",2013
9/3/2013 0:00,41520,Tuesday,3,Tue,8-Jan-00,9,Sep,September 2013,3,"3, 2013",2013
9/4/2013 0:00,41521,Wednesday,4,Wed,8-Jan-00,9,Sep,September 2013,3,"3, 2013",2013
9/6/2013 0:00,41523,Friday,6,Fri,8-Jan-00,9,Sep,September 2013,3,"3, 2013",2013
9/9/2013 0:00,41526,Monday,2,Mon,8-Jan-00,9,Sep,September 2013,3,"3, 2013",2013
9/10/2013 0:00,41527,Tuesday,3,Tue,8-Jan-00,9,Sep,September 2013,3,"3, 2013",2013
9/12/2013 0:00,41529,Thursday,5,Thu,8-Jan-00,9,Sep,September 2013,3,"3, 2013",2013
9/13/2013 0:00,41530,Friday,6,Fri,8-Jan-00,9,Sep,September 2013,3,"3, 2013",2013
9/14/2013 0:00,41531,Saturday,7,Sat,8-Jan-00,9,Sep,September 2013,3,"3, 2013",2013
9/17/2013 0:00,41534,Tuesday,3,Tue,8-Jan-00,9,Sep,September 2013,3,"3, 2013",2013
9/18/2013 0:00,41535,Wednesday,4,Wed,8-Jan-00,9,Sep,September 2013,3,"3, 2013",2013
9/19/2013 0:00,41536,Thursday,5,Thu,8-Jan-00,9,Sep,September 2013,3,"3, 2013",2013
9/21/2013 0:00,41538,Saturday,7,Sat,8-Jan-00,9,Sep,September 2013,3,"3, 2013",2013
9/23/2013 0:00,41540,Monday,2,Mon,8-Jan-00,9,Sep,September 2013,3,"3, 2013",2013
9/24/2013 0:00,41541,Tuesday,3,Tue,8-Jan-00,9,Sep,September 2013,3,"3, 2013",2013
9/25/2013 0:00,41542,Wednesday,4,Wed,8-Jan-00,9,Sep,September 2013,3,"3, 2013",2013
9/26/2013 0:00,41543,Thursday,5,Thu,8-Jan-00,9,Sep,September 2013,3,"3, 2013",2013
9/27/2013 0:00,41544,Friday,6,Fri,8-Jan-00,9,Sep,September 2013,3,"3, 2013",2013
9/28/2013 0:00,41545,Saturday,7,Sat,8-Jan-00,9,Sep,September 2013,3,"3, 2013",2013
9/30/2013 0:00,41547,Monday,2,Mon,8-Jan-00,9,Sep,September 2013,3,"3, 2013",2013
10/1/2013 0:00,41548,Tuesday,3,Tue,9-Jan-00,10,Oct,October 2013,4,"4, 2013",2013
10/2/2013 0:00,41549,Wednesday,4,Wed,9-Jan-00,10,Oct,October 2013,4,"4, 2013",2013
10/7/2013 0:00,41554,Monday,2,Mon,9-Jan-00,10,Oct,October 2013,4,"4, 2013",2013
10/12/2013 0:00,41559,Saturday,7,Sat,9-Jan-00,10,Oct,October 2013,4,"4, 2013",2013
10/14/2013 0:00,41561,Monday,2,Mon,9-Jan-00,10,Oct,October 2013,4,"4, 2013",2013
10/15/2013 0:00,41562,Tuesday,3,Tue,9-Jan-00,10,Oct,October 2013,4,"4, 2013",2013
